path,label
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/128_100.jpg,Apple Red 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 3/r_146_100.jpg,Apple Red 3
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/213_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Crimson Snow/r_295_100.jpg,Apple Crimson Snow
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Crimson Snow/r_201_100.jpg,Apple Crimson Snow
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/10_100.jpg,Apple Golden 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/305_100.jpg,Apple Golden 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/3_100.jpg,Apple Golden 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/101_100.jpg,Apple Red 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Delicious/r_55_100.jpg,Apple Red Delicious
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/r_244_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/r_248_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/297_100.jpg,Apple Golden 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/308_100.jpg,Apple Golden 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_142_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/257_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/r_104_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/302_100.jpg,Apple Golden 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_140_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/25_100.jpg,Apple Red 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/238_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/r_193_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/r_257_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Crimson Snow/r_85_100.jpg,Apple Crimson Snow
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/127_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/247_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_184_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_291_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/31_100.jpg,Apple Red 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 3/r_166_100.jpg,Apple Red 3
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r_57_100.jpg,Apple Red Yellow 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/287_100.jpg,Apple Golden 1
