path,label
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/204_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r2_115_100.jpg,Apple Red Yellow 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r2_261_100.jpg,Apple Red Yellow 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/268_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/308_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/173_100.jpg,Apple Red 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/199_100.jpg,Apple Red 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/153_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r_131_100.jpg,Apple Red Yellow 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Crimson Snow/60_100.jpg,Apple Crimson Snow
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 3/r_211_100.jpg,Apple Golden 3
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/149_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/153_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/192_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/105_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/193_100.jpg,Apple Red Yellow 1
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/144_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/149_100.jpg,Apple Red 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r2_105_100.jpg,Apple Red Yellow 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/195_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/306_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Crimson Snow/161_100.jpg,Apple Crimson Snow
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/225_100.jpg,Apple Red 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/r_131_100.jpg,Apple Red 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/208_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/r_195_100.jpg,Apple Braeburn
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Crimson Snow/66_100.jpg,Apple Crimson Snow
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_191_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_198_100.jpg,Apple Pink Lady
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/167_100.jpg,Apple Red 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/196_100.jpg,Apple Red 2
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/r_147_100.jpg,Apple Red 2
