path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/275_100.jpg,Apple Granny Smith,"4.888076133992799,-9.097276434859925,-2.759721957028499,3.3707683605272343,1.919701325136181,8.422547798692973,5.355709945178301,6.224934028752196,-0.5589342093498851,1.7380835046765124,-3.79220110227548,3.8736541071772965,-2.2788959424026034,1.4197116951420277,-0.7503348218063967,-3.865015082105904,5.047793282446145,-0.8287810291306202,0.9636673546556768,-2.5034335470699696,-3.3076900560925586,0.5469159662626953,-5.556227492394731,-1.5819618032619442,-1.0588736207704912,2.368090576544775,-2.6520118192033344,0.7922397266250529,-1.706832455044356,0.49757737044805966,-0.15330860403748273,-0.9851044423200443,1.5884157098310139,-1.6902596260918263,-1.35019480022815,-1.982407467015388,-0.06929138713160868,1.385375821998943,0.9936828262735029,-0.6927253345921778,0.8542344726899356,-0.12377706338520131,-0.35783784554168585,-1.2509728135055491,0.7575168803534242,0.3945387103902889,-1.5381606441283404,-2.2702289059906233,-2.534496752054396,0.33802625428871236"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_165_100.jpg,Apple Granny Smith,"5.060593200092253,-6.710644088249293,-3.0896368455815755,1.9451775374900104,-0.982283127962535,8.910896787184125,7.929398478266857,1.713444466285485,1.8972943145671954,3.023462423625118,-5.262486808659413,2.1462271194035076,-1.9059691138321742,0.7411601892997641,-2.35499872833679,-0.778835039113345,1.251706371531302,-1.1264172482203305,1.381239267433688,-0.8548983579267243,-3.7148328919520193,0.6496302653228389,-4.991681063650819,-0.40540891336671403,1.5043825194389784,3.331671529387001,-2.557355714524783,1.575491072730064,-1.3283090228304928,0.7845117585852441,1.43996350640393,-0.18957114289165064,1.6900143998657975,-2.911271309604293,-1.0106449963778001,-1.4171690202036475,0.8837363100320978,0.12463703723097615,0.40503726491633385,0.36380985149642125,2.7617485970829136,0.7358549296608958,-0.7127690049112851,-1.3073271838849803,1.3511045521827403,-1.106558670813363,-0.7900140949901348,-1.583055149045756,0.14891140631439945,-0.7780272995713475"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_268_100.jpg,Apple Granny Smith,"3.384269643768071,-9.49619939596939,-3.832920298480755,0.813496635599388,-0.6055990346824263,8.274788132678049,8.430121817947379,3.4607575928894585,0.24664967266116677,2.524554738142638,-4.596954288522118,2.1201030341704583,0.38799487098230606,1.9041927921533939,-2.39564259612281,-2.2518273432032045,2.62206961600185,-2.899557450744787,0.892242795200813,-2.694327640240651,-3.813623914437914,0.27317169038770217,-3.915250848611761,-0.9218450700437886,1.136395878529029,2.9153157059019335,-1.2786428273535009,2.1008772189327996,-3.1124132614769233,-2.5224451802895302,0.8964010099049272,-1.9273232472111936,1.3840296771360066,-0.7450515749950843,-1.5155232338465443,-0.25582621270033823,1.5890870606913698,1.793565602002115,0.598553573216272,0.3921372911921219,1.6054808542307395,0.6351309854661115,-0.7905213382895009,-1.007505000637878,1.275112523212472,-0.8084859684496759,-2.413044469351911,-0.6775773261643897,-0.03199278175442074,1.376609025716632"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/1_100.jpg,Apple Golden 2,"5.298259274689083,-8.26099507632433,-2.4584628781319458,2.0821303407590315,0.21968114334537545,3.8854083277256937,6.435412728113244,3.362703447090781,5.360303764712378,3.722033353807436,-4.083948106223285,3.926971434007616,1.6258833096105156,1.5944236469945725,-0.7057897654676867,-2.3828325592785276,1.0346487440693592,0.3633559314112267,2.3566146126716503,-1.6176889248472728,-4.046112586490785,0.48901396824908644,-5.4905286670745,-1.2506730640848416,-1.0170902749853952,2.2085051812395204,0.048799523806744224,1.664293820263,-1.3325805850682342,-0.31356831442327,2.2261265059047695,-2.807608824807823,0.8102860950661458,-1.4480062573610877,-1.1114084986292994,-2.563531033284942,0.5475879930550385,0.7433955052134704,0.30481674984996826,-0.4015900091234419,1.4628477928967838,-0.37735013508559034,0.2996539400432793,-1.0997908244768768,-0.5789490959165473,-1.27974188563449,-0.5651869834844523,-1.4675983429484551,-1.1095325733688468,1.9899154565621922"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/208_100.jpg,Apple Golden 2,"5.534590386195852,-5.816568377259631,-1.2651841754731776,0.5591090467110194,-0.537810805812546,4.966819807202901,6.682519932215073,2.892157353697935,5.975132028753727,3.302483211933456,-6.188102905619544,4.479336046377144,3.136281897949979,-0.024003397774826067,-1.1526352400463,-2.9653020454260437,2.111254757639769,0.47396935275727176,1.7443479467851641,-2.377696532686133,-2.65655754027389,2.054089841770597,-5.041174073038437,0.35685571393014,-1.5548235879225563,-0.01896946135600175,-1.0507291746849712,1.8622370141346756,-1.0976846572166605,-0.7183112714635445,0.7657363794916161,-0.665751090703933,-0.3095660803305848,-1.3467556876142637,-2.2342042571240683,-1.7587962192884916,-0.38461902884569965,1.85890760869969,0.0021752254415019563,1.7066512634955648,1.5598884946444511,-0.6062544742852162,0.06331674459088464,-0.44151337489292064,0.010633943271829413,-0.4949149238607595,-0.6559778628792984,-1.3647991001783597,-1.6105381463420265,1.2300766962619947"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/r_254_100.jpg,Apple Golden 2,"6.3784160335300815,-2.136782661386979,-2.2098871968962777,3.398227432030009,1.9800963175446697,3.702924327832798,7.5339238019885215,3.4243365265876093,3.1725893031744894,3.999496711863172,-2.2393516733163077,1.3968588535745992,-2.9076123108333434,0.4901153318948826,-2.382806146571901,-0.8189933459670311,3.140063870538944,-0.010402174835629567,-0.5894753938347476,-1.4141232985625296,-3.0598057750724696,1.0436882115265687,-3.809446986020281,-0.9915317603804492,-2.0908340017568667,2.5323044862471527,-1.310521576222614,1.4953187303102935,-0.2931072111962408,-1.4371118078490257,1.6343505786308594,-2.078161555832691,0.8053005225279314,-1.2147806583854421,-0.7207277522715216,-3.896205617310002,2.164440102412742,0.38118150118916644,0.9778594487456688,1.222687757331451,1.6649016498387403,0.222757615051323,0.5271580237767176,0.20916797644607057,0.06469876068236981,0.234790529181206,-0.6693420936211906,-1.197248513595105,-0.5857918324310898,1.2262696201465109"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/191_100.jpg,Apple Granny Smith,"5.142149213928263,-7.610026211919579,-2.939751807102272,3.248401444856135,1.65868117770433,7.897005475281048,4.654497482227623,3.7295115652099713,-2.302592330996102,0.9320856830511074,-5.503258915785383,0.414264358964574,-1.3567283290969974,0.46464798964235,-2.6081645693039417,-1.6291504814097255,0.2215607204760547,0.30083035935273267,1.3075082853317048,0.3858217168284399,-3.606959605042405,2.273129585560179,-7.468407255358312,-0.8244130258380445,0.756307827722134,1.3436333601629562,-1.9899963987107943,2.271051030063194,-0.7360589363725275,1.358466623231567,1.502105517341342,-0.39547981834755425,2.387811544459856,-1.9764117411626325,-0.8618398700837868,-1.0006846001490337,0.3677834008614723,0.9440593232811233,0.4719675627768234,1.6694575924003832,2.193074555104828,-0.26857845640564854,0.6008452315663513,0.49990475398747963,-0.2877326954676246,-0.6465249927718948,-1.944252804826967,-1.0816221503906454,0.2426529138504045,0.4161634605338465"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/25_100.jpg,Apple Granny Smith,"4.5169807017669505,-9.609328425243774,-3.734105552787685,3.1490056884299142,0.10402431619907658,7.8758054132100845,5.938231488449018,5.26088103557856,-0.32274248334721073,1.5691993325858193,-2.5034787006778663,3.8157553142573777,-0.9860320279676958,2.1179203996110525,-1.503635492361315,-3.0854239027560855,3.9656181679356464,-0.7418569431590086,2.502886615557199,-3.004662885652277,-3.821231062332556,-0.1328108209994504,-5.032393016311684,-0.4513401006515744,-0.4419575345660894,1.8349306613395313,-1.515177178736291,0.17795672347039623,-1.7395470390400838,-0.014455463851159976,0.01016485421546003,-2.106521008440099,1.6346771343274362,-2.287016372467183,-1.442697364140001,-1.6617011296435975,0.8328131306127491,1.766210080221611,0.6116946169928353,-0.7790261014088594,0.7498189343316669,0.07079512272454194,-0.3394162547509887,-0.9500026760646445,0.5635412070144853,0.09291237004699901,-0.540186281564578,-1.3749064861630618,-0.8119665291298116,1.0051000145426119"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/296_100.jpg,Apple Granny Smith,"5.169295205016617,-9.477436943533545,-0.8924301856588887,3.5966298927245446,1.887820093654873,7.938577538144545,5.60786144261878,7.1873553550583065,-0.1280909640937327,1.5367722000367485,-3.966999532863985,3.120366491133537,-2.088498335870247,1.5013170859946738,-1.0291321974617902,-4.067754444565429,4.396078556491729,-0.46091626828863824,1.0243510226722634,-3.4795919841429392,-2.574028320366166,0.9013568898961555,-5.236763219663397,-1.1577347382079917,-0.5999048289011301,1.3711891505149156,-3.2144859162367214,1.7287970530394594,-1.8386109075054557,0.6179815252278685,-0.19569114588801859,-0.07635882487504607,2.248958642137122,-2.73352791920411,-0.833847040329061,-1.9762062034694154,-1.1000749709920568,0.8507038625250798,0.685137235305221,-1.2274156284293822,1.6567354833960983,0.4595050174775726,0.29593487775627547,-1.017961182735764,0.8039981926255638,0.8557412313451203,-2.530502049100653,-1.850450943824685,-1.886495875947955,-0.06577599400900319"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/16_100.jpg,Apple Golden 2,"5.693638348589283,-7.1250304208083595,-2.532086799067842,2.400968344022595,0.20372114876963407,3.6281040657067916,5.79631571188113,2.9385821879888576,4.822758683517652,3.362618197057665,-4.182879930195459,3.5379143324461615,0.9933831314223168,1.3686071709144738,-0.2827698273223277,-2.9465985438323563,1.276443135541178,0.9785222641072656,2.3837364815612427,-0.9299569590309725,-3.947979317449678,0.1730461230555771,-5.215299248757947,-0.9696315331618042,-1.4666885619139032,2.4734198687965328,-0.6307858827826691,1.1691732455932071,-1.4056001768120905,-0.07241061613073757,1.5782185460210696,-2.744794856656302,0.6711348469907491,-2.3792271532321965,-1.1284000228792699,-2.712921838262789,0.46249210534628443,0.5088079549929945,0.260027293017673,-0.45836403243537077,1.5692785777080054,-0.25830566593568544,0.478831399080601,-0.9918632929875306,-0.954493978475252,-1.3650823149704994,-0.10894429626261777,-1.9307633736754128,-1.2385666094643297,2.073843175572433"
