path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Crimson Snow/222_100.jpg,Apple Crimson Snow,"-11.515124021474552,-5.471650276586632,-5.329837842989123,3.7319194537340517,-0.2559461432872624,1.340219027664536,8.175632580093977,-0.5788272691571441,-0.5137522625365692,1.076491922598152,-4.661890595322457,3.8529325903235594,-2.1999426534247584,0.873422477479698,-3.749949997396917,-3.9439046817526004,2.9736382219022968,-0.6570714565563879,2.997576943167683,-3.300756710893183,-5.124969537987419,1.980818563369852,-5.03916205145044,-1.305585603740741,0.36813180155059544,0.5988450387224672,-3.518541257660982,2.4668507287578763,-1.1170328997706045,-0.5765688004188518,1.3065537380348575,-2.552330251110031,1.482520113541842,-1.5557370237073922,-1.4533170155081476,-1.6246328726066062,1.4925667701882757,-0.5496818221989083,-0.09370050597541375,0.7041842596825999,1.9598158755722608,-0.9680947472723577,0.4853588874337066,-0.7790924352145419,-0.08038685312238689,-0.7772413455204095,-1.3249437418584469,-1.2289034062375692,-0.012137869658083819,1.4016508731015107"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_224_100.jpg,Apple Granny Smith,"3.979579789983392,0.8705968026884888,1.2939626655712073,5.98349345627048,2.03718289130835,7.16467754182728,5.2016335301863235,2.9097760139105247,1.4259755611325042,1.1116999035889847,-2.811197514021723,-1.753912262528043,-1.7328417427706784,0.5541376718071456,-6.351570441613065,-2.9091637486184316,1.7130957675784515,0.13071406171624833,1.3969390994718913,-2.0949502066843917,-3.5676107028790116,0.09351449693883591,-2.7568886435289355,-0.9059973780109961,1.4467238753242537,2.1401118090107603,-0.6450994355597937,4.314614938136164,-1.492257127694993,-0.31422116241227954,-0.2922950194142443,-2.220850456730652,0.9914134580358807,-1.2449069802122283,-0.8866936651148231,-0.47454983984821497,0.10505854216050738,1.0668951323642504,0.28535965841711375,1.6671226293126513,0.7063757538948983,-0.6081672701656315,-0.7228533344662139,-1.9486105125060138,0.3565413566321558,-0.5505367222192227,-2.5147371008568187,-0.053594500026029,-0.36771075970576067,0.4061084428146499"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Delicious/r_209_100.jpg,Apple Red Delicious,"-12.081104016060994,-4.231845560948537,2.173404827484349,-3.9193364287695696,-2.4231199435397452,8.05380014554005,6.522779408418479,0.26803774515666784,0.22061605814068871,4.862132303860586,-4.1205600805820675,2.123772120732655,-1.2911695346588965,-1.5173847797906512,-1.7389483314490213,-1.0597583439575853,3.817906765007736,1.1820725801586172,0.3118291640240481,-2.070937957759483,-1.5930060542157136,2.4354905842818235,-6.036314746894116,0.0015989976574376369,-1.7622339200950006,1.9266687827503597,-1.0114648855782333,1.8913966006336884,-1.810043352732392,-0.14550237137230126,1.3513055330648673,-3.320229430584809,1.934618012540459,-1.7769826783385005,-1.4902836542950495,-2.15961246421851,0.23795327122519958,2.484399873101212,0.8579378885060732,0.5791396622493798,1.6225953780637279,-1.1515008169191252,-0.6470274382442177,-0.6375279979489259,0.288572794345984,-1.5129517910824646,-1.5660991170251757,-1.7887472039379195,-0.899254798714508,0.9003274306816959"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Delicious/r_307_100.jpg,Apple Red Delicious,"-8.475211257533141,-6.3896190530045,6.112786856224188,-4.941627200729119,0.6623779423414099,6.246511116466219,4.628878763182631,-2.4066941184208317,0.4752285109829762,1.8286349152622439,-4.521943013998656,3.3871794905952743,-2.3496285441860487,-0.10510450321215535,-4.660974589827514,-0.7946294102093862,1.669633566798195,0.23989877133744708,-0.15348242076436466,-3.3526626597666853,-2.429113918461537,-0.721020760316772,-5.608753689202131,1.1396420466477293,0.04426496952783718,0.9657731034271454,-3.2159474197941034,-0.3460443782530148,-1.057703502604801,-1.2688181205528186,0.04074918155589642,-3.5505904645863304,2.5629362014461656,0.4195883129073264,0.24830253706071226,-1.6430621575578512,0.6075159906340823,0.009856229768821327,-1.4602681886293565,0.057900693107450045,1.704676633774332,1.2957531677026708,0.014452755705213422,-0.767120440844697,0.6197291980685512,-1.7636231456464264,-0.18840816793625162,-2.2153279332548332,-1.8887478758843732,1.321242304331129"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/294_100.jpg,Apple Red Yellow 2,"-3.883265367507034,-3.6621792467994756,4.623739057058956,-2.2751121864393515,6.367582094323956,3.4374324770827442,8.631545145554924,1.2620901572725522,1.1987714967815577,-0.908787037027169,-5.221497244084292,3.0562241283193226,-1.3295315511961803,-1.2005954481827925,-1.580332261281344,-2.5546212506398525,1.4974417088978218,-0.05474257975333664,-0.20845175982361727,-2.71450890179899,-6.021883368527533,-0.8996560110022155,-2.588767836447369,-0.8155304265490324,-0.6567439270851546,2.355878676692247,1.1005719020620253,0.941035130178157,-2.489310489622335,-0.8197750794449699,1.8296020400693918,-0.3812220165710148,1.6795871293009765,-1.833968044300549,-1.362183137334518,1.1184336621725395,0.4986922464954421,3.1993202080081824,0.7822488718293907,-0.7722612397402311,1.9635489090440428,-1.3031517828757622,0.4289934318411212,0.008032426111979707,-0.1293164110728205,-0.7689370742039253,-1.4177262384540084,-0.22705629096365365,0.4485894149101394,0.8258349144044607"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r2_167_100.jpg,Apple Red Yellow 2,"0.09764458215718594,-5.988323450964014,6.025156846262418,0.7929966064189269,8.395418908625148,3.080539317064147,8.117336981188737,4.840287719794666,2.9510890310639835,4.2372425859916225,-2.9098586636012906,1.4704633335285204,-1.0935592528903548,1.6324361841117385,-2.119384669345766,-3.0665898832874103,3.6751389654602082,-1.8423648139982645,0.5104334630637585,-0.47226168425284565,-4.62550875702845,0.020795426909291512,-4.694441986278246,0.8951627353049605,-1.0371589587345187,0.4824790721610465,-1.3754969823448502,1.720689838406194,-2.1713019052161955,-0.21320584776685708,1.7857689499157596,-1.6162311600646813,1.6013786208598106,-0.0042151417020364484,-0.17069304505924968,-2.427106163681538,1.904435659613242,1.0878625561624031,1.4275442492074155,-0.0068327668368286425,1.381871438895362,0.6821238429939226,1.362247952173678,0.48999788005944983,0.8185489372921989,-2.449976021377101,-1.5034764805187202,0.06990061444371388,-1.2078914420442322,0.9232705678883418"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 3/150_100.jpg,Apple Golden 3,"5.283367140904595,-4.4687141198211195,-5.955027803984647,-1.9267698991411701,2.040411142066178,9.588989139143884,7.108538231670961,1.5336290249403248,1.2445851994103592,2.5465569613236245,-7.261531404016416,3.0430095356198428,-0.03799483410970768,-0.6822781210781053,-3.1799090551730638,-1.4770518743916943,2.461084472444095,-1.4628993778486767,-2.0179450647549144,-1.7343391264239802,-5.823285156817783,2.741283470884509,-5.736308596068214,-0.6264911420875781,0.300620729278752,2.705544717315643,-3.516749562145265,1.7299273452913762,-0.6436024894395094,1.1416364166086999,2.466664526735453,-2.2822662885951313,0.43718675123697126,-0.6426914533495866,-2.7548130266618562,-1.4345338477720233,0.7301380153199853,1.23142936833878,1.1263909096867935,1.950066507714919,2.2874879018041705,-0.29127046110822313,-0.1399788738787035,-1.0630800054012528,0.6894942000697614,-1.46973772684178,-1.277757186689503,-1.0247002765022606,-1.3649565772806718,0.6664941649430166"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_184_100.jpg,Apple Granny Smith,"5.537063751260748,-3.157919594369219,-1.0757726104118324,2.205462821381462,-0.48296735328172935,8.3567549322686,6.061253165165861,0.8172006840279106,3.2902419231144377,3.194279600157541,-5.986303394246946,3.215703980255627,-1.391029865899734,-0.5805367628887784,-2.7564724642765386,0.44886060373632036,2.134499336599261,-1.0216853974513178,0.5299661032992768,-0.24303042782366285,-4.194991889788251,0.5825246364490428,-4.065151012527249,-0.6517459516283833,1.5501158005670272,2.0050675686206025,-3.4169052172559864,2.75728412078761,-1.635257712846642,1.478754427283153,-0.06699958123353833,-0.113377647200076,1.464445014105167,-2.316939613493884,-0.6780409006802965,-2.0356284875406954,1.2653366379951303,0.21499125497370958,1.0803566747084439,-0.17115308843092733,2.0872377491352836,2.353023969618956,-1.4272738098981312,-0.20109855906239046,0.9132754037690907,0.16400607296592123,-0.8864916509137789,-1.807443372325834,-0.48057425266205184,0.09106969790184466"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_202_100.jpg,Apple Granny Smith,"4.960724648669828,0.28830321807078546,-1.3701565549992236,5.229159673908725,0.4527179480478493,7.331551618248804,3.7643197050040795,1.7809434639483757,2.0217503051054733,2.3739397628857315,-3.8648461924426996,-0.14994284230316599,-2.68089577079618,-0.5350932236853501,-4.02075425837306,1.0972536345604393,1.740321747280783,0.27098353508573236,-0.21303021380772036,-1.4780237501869622,-4.118823048163161,0.047079097632173265,-3.356016169240052,-1.9853581468417116,3.141707371642001,2.9111216673179268,-2.8547790073973145,3.863565634595347,-0.288831427261999,1.0015399221741996,0.0026578068750442566,-1.499120831445852,0.24343535174898165,-0.7434743075750719,-0.4459909554162587,-2.246343135199556,0.19954089250004806,1.1886195117213139,0.22010534768904538,0.18245239945706884,1.3746288101580366,-0.4224961576303528,-0.585051237797595,0.09018067801292402,0.030733681307963296,-0.4147678617318157,-1.73480741405975,-1.606789827619908,-0.9234632985236774,0.9505151705256567"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Delicious/196_100.jpg,Apple Red Delicious,"-9.92171537858522,-5.303628424170347,5.625135252457943,-3.32768685497933,0.03835842153337974,6.498811742582511,2.4116053187664486,0.19273609503003508,2.0285532153643744,4.48358658207453,-2.7945830503394626,4.291832704833211,-0.6782305692106906,0.5784634238649232,-3.52819336388457,-2.3002745981712387,0.16946081466976035,-0.8880168950145848,0.07568507247048929,-2.2013489596278557,-3.7326573967343806,0.5226425701728543,-5.207172747471237,-1.986359510521458,-0.1277358301877773,3.0678482815542654,-1.1223068738440982,0.7237010218176603,-0.9668507934091337,-0.4632897519471478,2.087556099189774,-0.929991533141886,-0.8016752484864238,-3.281352725863536,-1.787644126250169,-0.21057053719435825,0.8491140100552217,1.2961277220149487,1.7608614458828975,0.9115003054227171,0.3006290248460979,1.5676591390874097,0.07928987735794531,0.08994574879906314,-0.1060125933830425,0.5082212412616804,-1.3102907905500414,-0.9847269758325552,-1.0077385327130168,1.0715216966087076"
