path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/155_100.jpg,Apple Red Yellow 2,"-0.38461564040102364,-6.76413475062085,6.178021249639994,2.626024396664924,7.7586998423496025,3.04154072348706,7.709465965507655,4.1827438619097155,-1.5523456674775942,4.857326808487105,-7.180015587773117,5.523732748294351,-2.5616556147539438,-3.1049362400690783,2.311564786916225,-4.6926772662337,2.559979672643449,-0.044300199886029804,2.6741036256578896,-2.157716740785743,-2.8561771946365595,0.3335407148118332,-2.9238282207769224,-1.441722733576661,-1.2659418295040028,1.9444736382096937,-1.9153005797193976,3.2647774910761442,1.170158640779047,0.28587972953474133,1.7635794797389082,-3.7716755659880192,-0.20301602247364595,-0.8145478997360313,-1.6069521393140298,-1.7390326409510393,1.2237640544745516,-0.2890551164887607,2.8308314401893337,0.9086990456989449,0.8236773822976613,1.0602343934078833,0.7355202518167959,-1.095204667309659,0.4647962808463785,-0.7947495876078078,-1.0483720280607651,-1.662498751809875,-2.0677419610856695,0.21312178361281114"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/56_100.jpg,Apple Red Yellow 2,"-2.2324188174273414,-4.948274319650411,7.765066674970118,0.5426152709143395,8.83189452440105,2.1808319729109362,9.369506491934654,3.0292983800271407,-1.1387588103291808,0.8350204860905484,-8.51300756054707,2.548487110403485,-3.2251836611964433,-0.19383767728740683,-0.2672027774392715,-0.1694120528894326,1.535969729078025,-0.9701261182508759,0.13762771447884736,-2.8444831620944613,-4.244191538183562,1.9348974338308433,-5.923271253969877,-0.7327945174950845,-2.4609693535932613,2.2524027090358474,-2.0388941737731647,2.3239855854697398,1.9220269523311602,-1.2627532434292181,2.1304111865455084,-0.9447856399234198,1.547777042927625,0.19448643912433144,-2.850384867974134,-0.70240655572699,-1.2893703061340684,1.1623056235859868,-0.7799838269786296,-0.013963660164501115,1.5461148065841395,-1.4202391611286962,0.6055448149848998,-0.3883129490404893,0.9658529433896516,0.9464110686182893,-1.547528219286478,-1.5623011467800034,0.399763407394909,0.38854968286980407"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r2_7_100.jpg,Apple Red Yellow 2,"-2.0331656602581054,-1.177620868684851,5.743627283144595,2.9387185754955687,6.643416124197483,4.253156783107616,4.846408240217277,2.46308761904124,2.921627741892419,2.550414067076953,-2.256655719488991,3.2920562426067597,0.3785231110309871,-0.10488078827078866,-3.3966294817868894,-2.348860765607997,3.3665384758277446,0.3415151523956271,1.7584547668325892,-1.7003154636392437,-3.9882913854431297,2.6842523644095824,-4.960853810741691,-0.5634161738507807,0.6495147799426009,3.136174445585924,-1.6054158656701427,1.2759633846410414,-1.3674842243139687,1.4781072410673934,1.851381972537471,-2.5893622966089627,0.7710812769709419,-2.9133805509540327,-2.275076792146751,-1.9187960335389136,3.0996864520451095,0.9194863380455776,0.01621932396837973,-0.37024027995567094,2.053367097748506,-1.6491712853145792,-1.8391392334568266,-1.4961416504125302,-0.6772734838599481,0.23916378203204516,-2.5206891858799207,-1.9539274191096356,-1.2506157691461228,1.8175902495489018"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/133_100.jpg,Apple Braeburn,"-13.950982632421985,-6.181028051239714,-3.879596676560398,3.4013716865257644,0.049838793619895634,5.235383290867942,4.695439336623122,4.620307811915948,-1.2996031738627722,5.167617854320995,-5.7667193094065485,2.2823525464715044,-0.5186946329539507,-0.08928191494815675,-4.703093189102362,-0.851132911967953,4.047742904575261,-1.243379959804935,1.336601980611676,-2.226220049246595,-5.392322264405982,1.2691611734046448,-2.759611025911019,-0.07204431536065634,-1.5066993691351749,1.4014850798637515,-2.584878809496625,1.7222775775269776,-1.2675696440217388,-0.291135481596783,1.1361354262473304,-2.278963922101915,1.813375868344314,-1.7792988075358878,-1.1227291973645446,-2.079522864524808,0.6514072347575866,1.648053441463633,0.3311537243072917,0.5908240467875926,1.6198304227202862,-0.18991587402970617,0.9021842928924234,-1.5034555440255393,0.7380724709305885,-0.7942315074283347,-0.44609560083099276,-1.4719663430681316,-1.0573586343879597,1.454170523517889"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/r_107_100.jpg,Apple Golden 2,"4.740624698757022,4.568625343244689,-2.3578782256567212,5.633131717994017,0.8931747479330399,5.188135536933133,3.278108026913212,-0.7511879800979064,0.9177181045148004,3.2192136392098947,-4.815916900990646,3.864278350614605,-0.6940201369649993,1.326862891953547,-2.977104055188131,-0.1196528939257789,2.0826304086984666,2.2363092196367167,1.554093558215625,-3.511316737532066,-3.9327821833112724,1.7583909631211285,-2.5307130672198435,-0.21567655828924934,0.6101664623769361,4.327838826170109,-0.8604078420170082,2.865195615373578,-0.8887455049190067,-0.7701861633275378,-0.7311555484995305,-1.2502972424116252,1.199521310749498,-2.0893342512701674,-1.0186202365325716,-1.6962373013980099,-0.1272532660719297,1.6285322828598008,1.3873398356004232,0.6433013585779473,1.1078614891307803,-0.5521249793901566,-0.1378023613093763,0.07667957480085398,-0.26390976723713555,-0.4352140004417695,-0.6393587103179915,-0.8181108917703273,-1.4479600505010253,1.8435425072904668"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 3/r_167_100.jpg,Apple Golden 3,"5.102331019796254,1.6480824202585078,-2.7461732731125497,2.8329655793349056,3.1155718060235413,8.830583101027733,5.471105221689078,2.2684949802683363,1.9568303024056386,3.3857435383836703,-5.887789283367973,3.475303880546083,-1.5692264646102114,-1.0834125948866102,-4.070644094335814,-1.849105075169298,4.946101622522296,0.9103659634397883,0.7448594613365302,-0.9200054888649015,-5.679908836715929,1.1374353710090137,-4.3716784700527125,-0.15665339583974486,0.2511740479451404,1.604868955464107,-1.6936748178000336,2.3607378754054307,-1.7648368459463823,0.7644502345271104,0.45251237747291884,-3.349558477977761,-0.7435393245170479,-1.1814117083604427,-1.6146934366715275,-1.5427831073551586,0.18603392985229367,1.2714475004843686,2.077508258129854,0.2264145912022971,1.716055149990794,-0.49303566503817703,-1.855614793469506,-0.015209176235408474,0.20219285010071553,0.8909648685895829,-1.2070517186017824,-1.0326797361225912,-0.04929194705925748,0.7969327311342215"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/24_100.jpg,Apple Pink Lady,"-7.023127122951486,-5.231958163690976,-5.205990853531381,4.256638188334134,4.729339016618075,2.7884339764905093,4.497027333589648,3.3770578359905024,2.2184779999785995,2.7499441070352306,-3.8236216133220347,3.221369505057235,0.4344254557266814,0.625826156978119,-3.07918391363402,-1.1669543743849056,1.6954338380740985,0.6304266989425595,0.9794542810478246,-3.0670941868107553,-2.871125934976368,1.709554752944686,-5.200356027862576,-0.8124063948218592,0.16548488237734957,1.5906963616563494,-3.1910370514981063,1.161345948755622,-2.2781503590922396,0.8131400623021514,2.284248704780885,-2.770121794441441,1.8472712695211855,-1.09024424395084,-0.6072150214185176,-1.4693413355805667,0.8010852284768331,0.25828427984143787,-0.4552812002712185,0.2348695837227713,1.4385449779706645,1.202578514096753,0.18351076668546648,-0.873059708266147,-0.30761001993670095,0.009224230790618035,-1.0205537075145543,-1.124495084771541,0.3787914062704657,1.8940998380443286"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Delicious/r_200_100.jpg,Apple Red Delicious,"-12.048673801554976,-3.6281730697944465,2.3904152714419196,-4.311239271269282,-2.6178492022094404,9.671780758113478,7.780759518430563,1.546316676646998,0.9572222367568344,5.597853865434622,-4.845830438634478,1.8699044250240928,-0.6739833788744953,-1.2469661405441295,-0.8144163809980414,-0.8996605498782336,3.6992149446903073,1.002898783575265,1.2475848782617425,-3.920742417482625,-2.071148068803763,1.6806502546044686,-4.725685756919891,0.7343031681243962,-0.3963317624261748,3.249208850818399,-1.5753924363919316,2.5504780762138015,-2.28897726934301,-0.5716909341467246,0.9705581853229878,-4.2847148440081275,2.809228726967322,-2.371812265341917,-2.2413871147291164,-1.0660714502286037,0.45183489325703263,3.01421480490456,-0.0797222721898285,1.2779537657394995,1.1670382298706359,0.07729976592419639,-0.988064767308168,-0.36724542417244294,-0.0343285840889871,-1.3303738980943864,-1.1046204687923231,-1.0745875607162136,-1.043598184320408,0.6386254105134116"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/160_100.jpg,Apple Red Yellow 2,"0.6970139495637191,-7.76243155638142,6.683009261792787,1.9806539362139473,8.546193746560538,2.697059986602287,8.693177638029518,3.5265493860301707,-1.2299786856554151,4.493957095427142,-8.197153186726936,5.804020353983684,-2.0266725535177934,-1.7379503384995323,1.2432033815637906,-4.736026962339076,2.6110899542066135,-0.9173167918542722,2.6692604282826293,-2.635935461522593,-3.5512319110531787,0.5407149339586903,-3.0505806719712885,-0.6774214932571054,-1.936277215575791,2.183372389639679,-2.200684908464515,3.587634048306365,0.9388974028614909,-0.21275690459140095,1.3480121619711511,-3.5823573054292495,0.11537121712181257,0.01706515444798399,-2.380893589623777,-2.3641311989130256,0.5629115924095373,-0.2656439668622398,1.652659007242492,0.6192522555528372,0.8099461964679113,1.6997312038402397,0.6657818207986218,-0.2063478135118574,0.4682397035339702,-0.7564077259308627,-1.8976791529009287,-1.1099422388900635,-2.2449210799268666,0.09990230067355335"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_77_100.jpg,Apple Pink Lady,"-9.01973899628488,-0.8629204524568673,-2.2562167610524146,1.4803096307863786,4.578901199857306,1.4297619541286732,9.231537506262985,-0.3567221867045099,3.0211089928303005,0.8771310161177507,-5.474196578764203,2.4113587437234965,-2.234701820596721,1.4877042097752844,-3.764189581468659,-1.253159827049185,1.782447784258025,1.6854789325990365,-0.4257587885962975,-3.790510863518701,-4.537870330134799,-0.19591749873157213,-6.151991277060334,0.843977745709828,-0.7540138882315075,0.9684937036593159,-2.614994211133952,0.8287016856229238,-1.5099130432759913,0.4507088841142769,0.09843152547458432,-2.9458527551766274,3.106717005771031,-1.7193306545934204,-2.2740075653787124,-2.097294787728938,-0.8543261037589926,0.5206438627857616,1.6490348828782948,1.342475585201512,1.528695437874164,1.5684780770477873,-1.229863238364369,-0.08072918163747538,-0.04078028145633365,-0.7903550719138321,-0.2930190374984228,-2.255394763518386,-0.9813487060757303,-0.29684636812576465"
