path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/268_100.jpg,Apple Golden 2,"5.75117623696792,-7.407367286318715,-3.840303595114047,1.9040488915162421,-0.7418107514364991,4.096713534764485,6.689400177345482,2.8566288545382,3.923364749942437,3.366620099607571,-4.528771376471868,3.2757765837161696,1.043155061380277,1.3342842300780322,-0.9448563769177777,-2.7878465977636817,1.5901879294344798,1.24891887220562,2.258223616372011,-1.2206896006604164,-4.326844227172131,0.6973122295589076,-5.205906765117925,-1.3583142020357077,-1.6196198482829054,3.0170785498387236,0.3501563468279454,0.6878671187365666,-2.1107956908239145,-0.9090777527873531,1.1117955767044558,-2.9800617819802824,0.2643605367271574,-2.0261832538720155,-1.345434156198558,-2.3865775374630016,0.32449366330353785,0.41513233476832495,-0.24771039130897782,-0.5773548327763074,1.3180034133087786,-0.5704208098149446,0.3144722303432109,-0.8427205404548819,-0.822639300517855,-0.8330256980582826,-0.24494689424160923,-1.1636240602850432,-0.5849743670291556,1.6516755149534033"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_247_100.jpg,Apple Granny Smith,"3.9888728448136024,-5.945316631464126,-0.7764857598861121,3.2726959788182106,0.043145606554034856,9.44664373058836,9.020886038368944,2.7947088549835075,2.4877765137234604,3.0409832473112854,-5.532418001489674,1.6558913672203286,-0.3434254088709972,0.8125293841413712,-3.633066632369732,-0.8454909411078243,2.2674075250812677,-1.6290519376419512,-0.07360989226400035,-2.2080776464826477,-2.4512751222006597,0.7951458789563278,-4.599728145364306,-0.8294099389495528,1.2546764524646585,1.1318984405608303,-2.492086403416139,2.3293761575161414,-0.9447646026508497,-2.0119563150461084,1.8691420777407544,-0.4850117010772896,1.5377691454588658,-0.5729061602000506,-1.0459640734756364,-1.0003308207157835,0.7281116161442125,2.41923450575475,0.8389380648440251,1.745703098985791,1.8422612946778065,0.6241784681993653,-0.6321109071282173,-1.4226725793583717,1.1789205112791774,-0.6621727061376118,-2.392413257289572,-1.3299356627877734,-0.2758844346268521,-0.23557435296983897"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/148_100.jpg,Apple Golden 2,"5.058395089285333,-4.6090910576992545,-0.6215028695712721,1.4257803069729835,-1.666365438358628,6.372070452428307,8.201772321505253,3.4973292331594164,6.800565884986568,4.24334075246953,-8.867844528591766,5.5510119445569766,2.020379234232008,-1.3615989554821348,-2.9721017290575125,-4.724375893119697,1.7447364616895418,1.0589510642006066,2.159942451625677,-1.5970867945914122,-1.9718125842031486,1.232986544640557,-4.742637991862934,1.2363987994208194,0.31159399192883547,-0.6004372426853676,-0.5803755794714881,2.634134318251721,-1.9334305058537467,-1.6137291929647972,1.3712168837770997,-0.5380381271580793,-0.6353958309978771,-1.2669663821532418,-0.7530854166037123,-1.2905226533106608,-0.320322195826242,0.9756600548936584,-0.6482342745027873,0.7240895526450004,0.7941837675257676,-0.9685509422022313,-0.2986279412735579,-0.45797291139838264,1.5884987756592102,-1.2888919567198966,-1.3133157042583068,-1.3192315263083079,-1.4959884739666496,0.8969641032312018"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 3/253_100.jpg,Apple Golden 3,"5.669406348715337,-7.846001613922698,-5.601552536305493,0.47976045743713164,-0.30830818863893344,6.3768776119179265,8.017492914264635,3.4650027148097626,0.8557135217592887,2.2560341862899587,-3.8153469862930467,2.360468144776181,1.9508045878965232,1.479073077354279,-2.1548860451369967,-1.6138277172553244,2.6576160946089264,-2.0570760977406866,-0.4890465324666892,-2.3265068546154475,-4.943727514507221,1.6300770595250318,-4.377121587812443,-1.7511766555275259,-1.1667316976624698,3.0792402889310098,-1.6187251722169282,1.70190523676126,-1.1153930871003435,-0.9718591677066749,1.6864680752370187,-3.034723394411854,1.4031112643454926,-0.6887873495141474,-1.8109578834862654,-1.9162410268771735,1.9400655279460464,0.8769796287489153,0.6038540334313743,0.18402620095890534,2.2965975876506826,1.2269148206131326,-0.021632550705902327,-0.7486173330815414,0.25054033118607955,-0.2329356726030896,-1.2416033204464385,-0.9617533313875923,-1.22623944285531,0.23751173969794595"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 3/261_100.jpg,Apple Golden 3,"5.237569229780586,-7.408513436617799,-5.805664338198646,1.02416381739694,-0.06952070863652399,6.314486840732671,8.196232000927813,3.5645400980569977,0.6662696965433399,1.8995035263174151,-3.8007082288253997,3.6910635650652215,1.0514429434449448,2.042723845524534,-2.323229926169548,-2.254270864715449,3.076463426882026,-1.9862771356510365,0.0012364252322343745,-3.306734997389756,-4.993096802499813,2.4222822052360082,-5.220680628892884,-1.0164378172846993,-0.6657347258896084,3.2515782423534363,-1.6757612590474709,0.9170168424849562,-0.85383560775767,-0.6506280032627672,1.4465172325114417,-2.530113931620049,0.944488871445706,-0.35467683036156944,-1.5128800031312242,-1.9153458726976504,1.3088710919076452,1.24694648447489,0.7041315494297962,0.7032494773611164,1.4773290290708594,0.10035517411060968,0.15909959277241048,-1.0895324102106765,0.2848101020966949,-1.1359748551179831,-0.5825925235024261,-1.7113234140407263,-1.3019442423597942,0.22426751742241946"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/16_100.jpg,Apple Granny Smith,"5.4851533284550955,-8.824800561134694,-3.0080448519366896,4.359374591791847,-0.35703278801932964,7.432687829296504,5.643998283407218,5.76979166375194,-0.1135442504813971,2.0243840945890788,-2.8086225478712747,3.3484148912167098,-2.28209952590153,1.658442448261408,-1.1117994497709154,-2.916146782186681,2.605517949355776,0.33146127829818955,2.8323894975721178,-3.0116630600916006,-3.602743256423143,0.11782146379837674,-5.112870614273096,-0.9808773772717849,-0.45049327049018967,2.181947906598583,-1.6218177987722995,0.6386713010197278,-1.4731358700623638,-0.2043610638693476,-0.08736442049930093,-1.8566691180914425,1.9161829706832432,-3.1796461547279464,-1.069652737868897,-1.7456724689729826,0.744286028792985,1.6911209025013212,0.09105764873809855,-0.934773014189279,0.47732934560934864,-0.015385493895395386,-0.3486226905266131,-1.3753971164665681,0.21298696943689238,0.4064536738566209,-0.3325290102964009,-1.7087778520869765,-1.0832555536995028,1.5645612917930924"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/309_100.jpg,Apple Granny Smith,"5.100957219248376,-9.287300114996949,-1.2861267372177867,3.8372064342289165,1.2355901781186565,7.816012762918028,4.809916742563157,6.352122013856794,0.4652921937256023,1.3655992356169147,-3.660175155308784,4.010818212432454,-1.0697546384464773,0.7239814982750463,-0.9963324329534602,-3.5310298607983968,3.9414162216584554,0.2775672092698648,2.0419257981163548,-2.3311186214694755,-3.132735044110058,0.28330383106599316,-5.091418944628109,-1.3627469971314383,-0.5334096788054064,0.9584319933185751,-2.453352026217022,1.0881671327387388,-1.4294917619670011,0.46454884745484804,0.06320256598005242,-1.0007443534159468,2.279760794317936,-3.0819032533787754,-0.9470874509793358,-1.8574098150053622,-0.17147444279878082,1.4582530507879372,0.4426238336331657,-1.547599888856322,1.7279566132061737,0.11529082183753982,-0.03195218598572768,-1.5187134736604182,0.6583288147319725,0.8286475141659858,-1.6191920670368756,-2.17610465381222,-2.1375699690540366,0.3506018152596597"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/211_100.jpg,Apple Golden 2,"5.841702068077442,-5.7272250750964036,-1.2968862934103242,-0.14003738459510917,-0.6534348748347881,4.422174421640498,6.610306808052238,2.3525225961127814,5.950425071205437,3.6036330319445735,-5.6287145568796415,4.146028755639763,2.898554449830352,-0.724860577722626,-1.0004982967665976,-2.9087997885040466,2.2031376004982555,0.37236046675895756,1.908801290464116,-1.9127050593748882,-3.1975706963006463,1.3857169480797413,-4.873922346029156,0.014403552361967945,-1.7784461487361884,0.5248712353430378,-0.9029447397953062,1.2550937573146561,-1.1497902176241275,-0.907904166860822,0.35400513014694274,-0.9165575865578999,0.3320935779646549,-1.412938582669429,-2.523845994502524,-1.6346822042145206,0.2940304186225985,1.6422328906768426,0.03620419386264483,1.1730745301051388,1.6999691392218215,-0.4225226455206611,-0.10688611674061446,-0.3321726898440376,-0.03241692163242163,0.03401893806211599,-0.8154217250336826,-1.4557978478668006,-1.1986940868032665,0.8470170567915578"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/285_100.jpg,Apple Granny Smith,"5.494897250526261,-9.235887925326212,-1.745613358067302,3.873100195956686,2.7125055552499338,8.50011637227652,5.893093153236066,6.629747176043508,-1.0443204077688704,1.5854583219881442,-3.6794585295883464,3.992064903876712,-2.560460200083745,1.6778803442014338,-1.1983665914808332,-4.341539359136559,4.735436640319335,-0.02919200283699911,1.163944106370742,-3.1046098157087303,-3.082483502669323,0.5949974549238647,-5.653405128345869,-0.6208900623112699,-1.1043251759984656,1.5604698462909425,-2.688155467368466,0.3455797702102469,-1.4116905607851882,0.5893701624430042,-0.4449625818117209,-1.1029621305201023,2.0287639613004376,-3.0505055419640814,-1.7395624273704842,-1.7965803864617795,-0.24708759347970569,1.7264394806136751,0.842204432409481,-1.126747165116473,0.744081590143706,0.17632552333118906,-0.2774678232283494,-1.660041117011192,0.7455906277157216,0.7405014039227308,-1.1276687474694862,-1.8624655433250081,-2.305737580458049,0.9689564513654566"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_100_100.jpg,Apple Granny Smith,"4.960252727795596,-7.974947991520411,-2.396706935433422,2.762936278244996,2.7970054134312576,6.061921653975175,6.921834109230197,3.7914091173378477,-2.078479959191861,2.593493488552657,-4.8378619763495765,1.0772714308877402,-1.4193355740208733,5.562113681439705,-3.153499642298843,-1.8416868988057746,2.88823004817241,-1.273642597696087,0.0012578726963490372,-2.9346074011382153,-3.5097713885621356,1.4410197842284895,-5.835069395625581,-0.9140048513760932,0.22827249477532807,2.1783089837593406,-2.0021018331372473,1.5383595350012738,-2.110436111724552,-0.8953078069477873,-0.207503967297854,-2.5630984711404823,1.0872459905302219,-1.684085397442273,-1.7833688423608476,-1.6349436010040244,1.0712077776135087,1.104873491858658,1.3411911926726248,0.6441423035874724,1.4416490465287348,0.2901159451822001,-0.08789279393665442,-0.9375739412421699,-0.8983748142644283,-1.1645290772447343,-1.5627191024193734,-1.030999145740736,-0.07069509494708989,1.4659475571578118"
