path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Delicious/r_111_100.jpg,Apple Red Delicious,"-10.718409834764286,-0.42725740247760835,3.97308404011527,-2.6862645916561982,-3.1579269225339166,8.786721586800242,6.5662822590360514,5.51408159559787,0.8909378508513608,3.572627164852574,-5.080836051858183,0.5910727844505484,1.7753811438818727,0.5177364044386218,-1.0762151249723366,-0.6517012356098875,4.202625253422348,-0.012496204495599818,1.8181103875542748,-3.4094562854703216,-3.3258679446910775,1.831805766911302,-5.4019040581564335,-2.714882527657748,-1.2956658085647368,3.900891531164242,-2.173473559542736,1.9596057847939774,-0.7978825500196546,0.1191606503151357,1.697692518496789,-1.0713175551286123,0.4283026267525824,-3.96737136530992,-1.4089345680246628,-0.6158826012289647,0.7138583316435714,-0.058354525190535064,1.5507328692196483,-0.4039784717525804,1.3929105588455941,-0.4276474067151986,-0.25194692935282303,-0.13834439435537463,0.9858254560031222,-1.115554262734141,-0.9589622012704337,-1.30316025827697,-2.0407767179530008,0.739137589293113"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/r_291_100.jpg,Apple Red Yellow 1,"-7.694844269831348,3.0645627256382757,-3.6715204730179445,-2.994023668358761,-0.020935675131281667,5.443409780567305,12.328102322991127,4.946795479231832,-1.771152767196899,4.43367678642073,-4.819781050894971,6.369490415063761,0.12055087804092571,3.3481692113899437,-2.1722492723583544,-2.549420777004505,2.423690130822954,1.632075505860201,2.604833403251696,-0.3497840422929266,-3.621101491388751,-1.9257755765458902,-3.6766704178477236,-0.08850137184490746,1.0272333690230582,4.321016808596866,-3.0461072936440825,0.15051767269533564,-0.5147538480768097,-0.7705100612692435,1.2582403503349247,-2.844139680638422,1.6810642976355086,-0.7464175705587229,-1.674640071336594,-4.288278597746974,-0.5790016109124254,2.25313575338038,0.7925443442748812,2.1597439203752553,2.3413708426096878,-1.1650140057553302,0.6872043993579664,-1.7088702869044878,1.5665972010590652,0.08757627412543145,-2.890811379382514,-0.8651439132427348,-1.2254101604009362,1.3314714115904527"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/r_302_100.jpg,Apple Red Yellow 1,"-5.341156228202703,5.848946913537521,-4.907535072581458,2.7230353038404003,1.3473177083297225,4.844617040781372,8.306914197970046,4.70945422443586,-0.24472531980085402,4.14145099844395,-6.1264638980061275,5.662856213981159,-0.48531773218516383,1.5741346125385172,-1.6971385861125032,-2.232446556098317,1.9889204063098378,-0.3459607184643545,0.6907211660522418,-0.28820796178265295,-3.592827808226494,0.4418462870596768,-5.014508102538682,-1.8229918137672585,0.33203347487318546,3.439505667147569,-2.4863474437094837,-0.1888049585323806,-1.254465341070615,-1.3159859904783346,1.16814652320448,-3.2235363341021492,0.778626880788736,-1.9065720636227654,-0.803001741230663,-3.397531080082745,0.003210455046872414,1.7802380343368973,0.399918970575905,1.1473703738744951,3.210919867217742,-0.21144150168483783,0.2033040847313229,-1.0922327370568885,0.6839456605163192,-0.25499978168050996,-2.5987478171832157,-0.2533196059043929,-2.199475950218624,1.5905035533014826"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Pink Lady/r_157_100.jpg,Apple Pink Lady,"-3.2670168500216463,5.392523809797521,-2.2660737851863204,6.586339373287822,5.039900419963281,7.853354672885392,10.598027757281885,0.8647361408189209,2.428255915379971,4.050669787203868,-1.692195998601735,-0.07877748263253535,-1.080619978258614,-1.764142522381169,-1.4043721453860294,-5.021838703335112,0.8612912320320597,-2.0713652895765917,-0.23568340032648633,-1.947633747864835,-3.649570011613571,1.2537373729351635,-5.997483109533069,-1.4620579633286332,-0.5070982549176883,3.5533739667889956,-1.8040063894125866,1.0387090253408773,-2.040855039052464,-0.24568691262562617,0.08843474983498395,-0.684046635383372,-0.06836996648730702,-1.8142419026492425,-2.046149540137948,-0.9873773082168056,0.39780211835846585,0.2196014182228987,0.48003510806443306,-0.7165515083147274,2.043927934999472,0.47746290338184905,0.487083482178141,-1.2762224860101072,0.3690024334591268,-1.4685767968253045,0.16460271059125822,-0.2878275127179759,-0.45101532325854155,0.9612468237496496"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/297_100.jpg,Apple Red 1,"-6.995541487877076,0.6257175263765214,-7.3517222577353225,-4.62830350009804,5.839707214885891,6.346789425909383,4.568387827947855,5.555514973422475,3.5230232945632647,2.2776898849218563,-3.884734410708884,3.208391019949937,-1.7271989528275484,2.8686271149407183,-1.1948328891630324,-3.583166012214924,1.564220209751975,-0.6761587100716708,3.0529530822759474,-1.795168068641335,-2.5138661626264023,0.8736132660939766,-4.517735647196784,-0.2212178771754626,0.020140810138137802,3.2101390568139094,-2.0229398639934844,3.222665084113521,-0.7178712755992057,-1.6975426343682503,0.35545777925983124,-1.1764949504224753,1.3930955538336385,-1.1042484839370368,-2.1651160250598167,-1.7013535949283638,1.6171293607509365,2.0036346843765873,0.4219958056157557,-0.034504764636972045,0.9949780636947051,-0.25745587430473854,-0.8182009716195097,-0.37005563513057155,0.13316543338586775,-0.8670406349166953,-1.812260253275163,-1.886029325853427,-1.1545482279246428,1.3022423280953859"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/301_100.jpg,Apple Red 1,"-7.9694911675113564,0.5407686046923098,-7.400658067493024,-5.230304273433584,6.210891732778247,6.890749125152084,4.704790704339362,5.926619178613531,4.607496080147472,2.342297074537067,-5.4772581128768785,2.9087369410159276,-1.316799310130091,2.72215133094079,-2.143392112408819,-3.5980495566163366,1.4603381452029747,-0.25278353820897287,2.703177123850019,-1.8526282552708357,-3.4937756311257187,0.5571209493017362,-4.995059213178894,-0.5940215337622843,0.7051600775409335,3.742921823354662,-2.279492130821002,3.314230722399772,-0.7901205292982995,-1.5421097278551017,1.264659912624191,-1.3004776669684548,1.3699920375602361,-1.4963528255114982,-2.0198262447163824,-1.2437392671497853,1.6787921002550774,1.898457931769393,1.5604866612396247,-0.125186553762135,1.695793033261033,0.07988853320494853,-0.3273608942696134,0.1816134415659214,-0.3009272923880809,-0.3450096484136326,-2.6163106513918146,-1.5793901173535714,-1.0183215367701899,1.395065349160489"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/r_233_100.jpg,Apple Red 2,"-2.6329165803103005,4.250336286139161,-1.4602836474579683,3.8070318423118885,4.2658019828298945,5.588316871856196,9.268213122038441,2.724955685251882,-0.7700506176461472,4.6696857433304135,-1.7590963026359492,5.567924618373341,1.7125860321017345,0.607730787004708,-0.7289951291484227,-0.24291930228467795,0.04541573388225067,-0.9716879915083998,1.8981635443255558,-1.6020448474207898,-3.91542327357217,2.664399389648087,-6.076226359303819,0.19979373069761508,-1.6174186538678506,1.7024585097088096,-1.5446138228709085,1.4561212601157651,-2.9384410973295463,0.522160663479851,1.0884781971066082,-3.14926773683686,0.2938071166085064,-0.497248539907326,0.354014382494873,-2.8116210929059315,2.4095668630564093,1.5971423890115752,1.5939008980513278,1.68552556701167,1.5554546751228777,-0.000722531668174081,-0.7961822236839572,-0.6502899711614373,-0.4183625323962749,-0.13361935614773832,-0.6413599656487093,-1.5488826315507422,-0.674624955857693,0.3014536230841509"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 3/r_288_100.jpg,Apple Red 3,"-1.2320435550488358,-0.5342469032761058,-5.751519814101137,-4.689905846984092,7.091283598043074,13.367880109187427,9.804438602664765,-0.11871899560912895,1.4448063375217866,4.254068005665901,-7.413577849498489,3.6725906231487913,0.24493249428823433,1.4418608709871905,-4.925488940524401,-3.4863183032984324,3.990305622886282,-1.181158709386244,0.7942313222144793,-3.3072296959183136,-2.9287850293440925,1.3609302922535873,-4.211596482415182,-0.906063838447867,-0.09744147640080537,0.9073136545755774,-2.0901915176871846,0.0019421951639376767,-0.3208423052061837,2.646422745544188,0.5906458484275522,-1.938086477319426,1.3326903027483388,-1.2142116994374108,-2.195793327270274,-2.632455191867374,0.6816792603725852,1.4291548262957465,0.7217310219061267,-0.39300983914564613,0.2887297112015996,1.1350583224846575,0.9059670773983741,-1.3217399984323324,-0.5073549444413035,0.7136535694312015,-0.9573532395944172,0.0874846098473082,1.1318386792970025,2.2692003822936377"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/r_12_100.jpg,Apple Golden 1,"6.244781407542968,3.805894514126202,-1.8821738400395496,3.2857792179728724,1.5236299426780546,3.585163707447435,7.985693372263491,3.9298067692141214,5.290848232132134,9.254034399664034,-7.762642680767875,3.8660767292822436,-4.4029040831902195,1.3776849282713872,-2.5597420357996743,-3.2083033397067036,5.584996556673773,2.97074865415719,0.5168675012153948,-4.389589864790893,-3.8459639777707584,-0.6899636197542636,-7.759510683466499,-2.2753143667829234,-0.8123580053957496,1.686583590445138,-0.27300702141144756,2.254544113237699,0.15510725192718408,0.20452948693107922,1.0437350424979552,-3.9368355400552124,1.1963363524077242,-2.564148558666663,-0.9330536689575062,-0.5011398199630023,0.18434050547005512,1.5487105543417514,0.5912641680138773,0.7981578297426645,1.9999464353520917,0.2303765410650001,1.5509186959842949,0.26548140010905547,1.1915329119929503,0.2757136585538805,-1.6812578459888068,-2.318056595590011,-0.08683283692628403,1.3047408864978145"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/254_100.jpg,Apple Red 1,"-9.104072856743905,-0.26761792255231404,-6.034826672445284,-3.5133228663289278,6.737640792103076,5.834162828716145,2.2487379891938746,6.73035885166945,5.692334546091655,2.663556354462329,-4.711196179007308,2.7343798439902476,-2.4263719276877302,1.7824124286030454,-1.0386145781502518,-2.4068481783895654,2.4209488221916975,-0.0001923014918138194,2.2817707492972357,-1.210459759080942,-4.445514448964659,-0.34108453154436447,-4.608081237480915,-1.7628728107747815,0.7012847062344401,1.7981801127426733,-1.745337773689985,1.272164730743093,-1.53228273510652,-1.7576652349412683,-1.4603694680487804,-1.8057544222052262,1.676799508281335,-1.0098184275093274,-1.6568176881665182,-1.1348366940456753,1.3808314320764523,1.266770323912299,0.08670715978330727,0.39426792755840917,1.8799756374857168,-0.5571656025386116,-0.7934492597138125,-0.6667996201139971,1.0695156362430651,-1.6134136757165631,-0.557536333427657,-1.494792659013994,-0.7070284003960381,0.536876171847274"
