path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/30_100.jpg,Apple Golden 2,"5.720865039511079,-6.348900271982877,-2.448000812838259,2.3286413308037894,-0.5422138626053444,2.9445916061034234,4.636467060197042,2.5909553718089318,4.161968646153912,3.8151481107354375,-3.80940651595177,2.494174770652039,0.3579936993540709,0.679844481746581,-0.45241178128973625,-2.3952037839987934,1.3616591056622642,0.9284068606558208,2.732004272864556,-0.49319592170847626,-4.702980575136823,-0.12811189543308593,-4.863127885372736,-1.1702068382524022,-1.63932866289914,2.0639886818941493,-0.7547573522429295,1.665611838793686,-1.3500309662783003,0.01028242733510615,0.8470560000576436,-2.043434056158136,1.1590853382695256,-2.456748985434632,-1.0731651042648072,-2.965482922842563,0.5538238440494563,0.00681653981834081,-0.14855595262742663,-0.7939312709060774,0.7972123930340443,-0.1705506397480729,0.5285079765759741,-0.5074649438569182,-0.7438993433709867,-0.9573853411584942,-0.2551589241603122,-1.9711366532524854,-0.9800076740899976,2.2202081474585067"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 2/r_172_100.jpg,Apple Golden 2,"6.174320889512411,-0.9188195390527717,-0.3193723189359983,1.0877313544941707,0.3955427380729352,7.123425072055048,9.113950656265747,2.1167638225164844,3.860338559566628,5.458000014834989,-10.076361459159294,3.490935914275347,-2.4836773912334484,1.5238976202533727,-4.943069004273715,-3.9218019196861373,3.3255986569432827,-0.1964178969510264,0.5939175603014802,-6.082405866359504,-3.3502180697728647,0.31669970183082113,-5.912971040595357,-0.5107672094481872,-0.196241582887079,0.39510700015267974,-2.06408365625222,2.17913862267946,-1.776779623390809,-0.3013059010360592,-0.02858375917586135,-0.32907712985122106,0.8939975473012921,-0.9396125094221734,-0.9639484670888038,0.029557178841813272,-0.13314778818124623,0.12642366795128085,2.356014082849272,1.5138563678543364,-0.014263503801868565,0.19376380396611032,-1.6858791115538099,-1.781595438375859,1.5842004896378834,-0.08469734855420241,-1.2028385423969485,0.14309012336555246,-2.211395418324155,1.80820364594039"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/239_100.jpg,Apple Granny Smith,"5.385492438152238,-8.31989384496035,-3.493271792687871,3.149543404010629,3.238261660131052,6.956722641928439,4.24924561242325,5.221934806711893,-3.8120734294638816,0.37617643933535055,-4.559647761933435,1.315419476133655,-2.3854716117253942,1.3271155742086587,-2.4021014067816178,-4.46584620490482,2.8868932093351227,-0.0013394717891490407,1.8656395420452716,-0.5571116816206955,-3.321226504955211,1.2465259943217952,-7.6574945525217295,0.4993588149399572,-0.1818106691221992,1.6211398267242934,-1.476816181418552,0.7645957165475172,-1.8373335214245599,0.49907082382601514,-0.7967857800440451,-0.8443842856325217,1.5922036051927468,-1.7566092914159694,-1.7380754313100686,-1.4166094618464207,0.5504249380246601,1.473291318754704,1.1722874016222484,1.3527912363888561,-0.5285244716830263,0.1364309053852039,0.3836708227415589,0.24041881781311514,-0.7702607352722458,-1.1695554761521587,-1.0086775332991944,-1.7700637159076997,-1.2921047643498973,1.5574342994974213"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_131_100.jpg,Apple Granny Smith,"5.7442661857310275,-8.160218338983812,-2.542625397349551,2.1023344440312077,1.7675064645914031,7.475533509027778,5.357706682208723,3.538931757319048,1.0461419420585734,2.507358748170514,-6.0460975834489155,2.547156757040137,0.23681895412139112,2.671913135453648,-2.6717861370941813,-2.232093243925197,2.3675233286580672,-1.3448197071784957,-0.06052049062671991,-1.6761194116886902,-4.057887799910268,0.3167316190895499,-5.6139809690486535,-0.3876190707449596,0.3347923484945211,3.09504019643624,-2.279756309224981,0.9779884244629661,-2.042824366513735,-0.32750719460643907,0.1223627711760058,-2.4185602020410224,2.2455931714369317,-1.2835636506175796,-1.5979444302736963,-1.6310327087396896,0.6812355861293622,1.4033675294153647,-0.3129335521115592,0.23212164272311003,1.4288145318006296,0.56333009784574,-0.7443595677685653,-0.27285541967542204,-0.026620715009050597,-0.7130417846069066,-1.236482609872872,-1.8972259937531792,-0.2361071897569117,0.7996522141046248"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/244_100.jpg,Apple Granny Smith,"5.074799529637394,-8.670856779127703,-3.5331639028095454,2.816487955695192,2.213176711055343,6.538485368193838,4.188085977400418,4.950475969914547,-2.7626447465903374,0.9000566164044167,-4.379357804639736,0.9281834647155844,-2.291757930890902,1.739320248758492,-1.9411965939284692,-4.171708257097343,2.741132585150658,-0.5673560182490582,1.9988770534069646,-0.5780831179926931,-3.4889669774338326,1.3985854724618103,-7.265361812664209,0.11978970032793702,0.12756796394062864,1.4808787286739518,-1.9889496464657321,1.1482420058801044,-1.7851679910723837,0.6273545883226797,-0.45769521571774036,-0.9511219885246195,1.8673166834778323,-2.1097751091668737,-1.2793689862606847,-1.3521039533156063,0.5092665258796051,1.1326182454455838,0.6278967503142504,0.9325364188055054,0.2724520531746438,-0.062073675169990766,0.5162330193050984,0.18918037955450534,-0.5859664894598354,-0.7742241899495228,-1.3413420703106957,-1.49758169055728,-1.114358225174668,0.9807498074085609"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_163_100.jpg,Apple Granny Smith,"4.805277718367931,-7.30685938349535,-3.410662172168402,2.1046958963793214,-1.6228405057711581,7.936071558873805,7.097579767852251,1.4695853377332972,2.346552075638918,3.2148702642201883,-5.511108652683606,2.087659795018354,-0.4079070455812249,1.1794316763117967,-2.1639042543452143,-0.30246379272995566,1.0607692521012193,-0.6060982222246947,1.9185180702211604,-0.2953884307098512,-3.751212870809098,0.7456129280917873,-4.466136161649321,-1.3874217537947013,1.073935242176694,2.9167689626951794,-2.4782965248649256,1.8771199572871504,-0.46644750674519947,0.12641679371091225,1.501698258359907,-0.6606492728820548,1.34203517765999,-3.0036531423147332,-1.2064140974835882,-1.09332575984368,1.6338071672699388,0.4109088569372192,0.1624162199144147,0.26521784946039173,3.2549426949231357,1.8444612114408283,-0.7084171953627508,-1.037064559041559,0.6583344065997607,-0.673713334097112,-1.579427982450438,-2.0272626231058766,-0.011614727787527738,-0.4748642981446734"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/273_100.jpg,Apple Granny Smith,"4.950601637709131,-10.229595475165356,-3.0454273994785144,3.043345566179589,3.328064063541153,8.595692159248614,5.661742744503151,6.232498483079379,-1.889420488343078,0.8279996433234743,-4.2903828649016535,4.029221333096567,-1.6724310534816023,1.8513210556217767,-1.552421441120801,-5.158457387417716,4.8760252344916175,-0.4296749722989704,1.2548668324694516,-2.8329342275078693,-2.7233017588788986,1.450710845203835,-6.904228472139705,-1.1196723386213496,-1.4698196792321745,2.566709982512386,-2.648673646840933,0.7346073522071505,-1.9964600644366723,0.04312253148131711,0.5982987163787246,-1.4884869327319923,1.8125543406242242,-1.2186178326542216,-1.75590658925323,-2.0022455467034344,-0.48412799840550175,1.3316842364931984,1.1952677471191662,0.18541286567596654,0.7006794273293843,-0.014620145740184215,-0.18654817721358122,-0.813154637648582,0.4256855326458067,0.1151128546955413,-1.273803724244444,-2.151264020554814,-2.817324150698562,0.8779827690483433"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_130_100.jpg,Apple Granny Smith,"5.069578336262703,-8.572771823674197,-2.407556429202603,1.7939761673605759,1.7904413325972042,7.3425120049288015,4.810589552728475,3.1491769808554695,1.001814091774673,1.918847390064233,-5.641711209869079,2.8937016466290575,0.7342138611817992,2.956902709283555,-3.1189529936134965,-2.0919757907664076,2.2340993778824476,-1.469649896180444,0.13425670276000423,-2.642409417610932,-4.14239731316991,0.12272148389775901,-5.369587813554756,-0.42962482348866743,0.7470207133042591,3.5080100245378527,-2.6700709024492917,0.9222641964511356,-2.3262681271905166,-0.16403988964904584,0.8470616664389791,-2.608065297194751,2.010237767884934,-1.5988769394009756,-1.4599482850929608,-1.3649733264099873,0.3720890119052749,1.9318461996573955,-0.23265999290061098,0.16142201659302222,1.6006115385961985,0.9264635652981372,-0.7693401150746985,-0.5053443209116802,-0.25258514741349897,-0.502201406422864,-1.5368900386577895,-1.6856023408721856,-0.6603002127186985,0.859846567068631"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/r_266_100.jpg,Apple Granny Smith,"3.1916895000102428,-9.787045986286323,-3.2750734841238023,1.09354025211648,-0.6969796176647177,8.464976476111012,8.293869626014317,3.6084439384570737,0.8235252283610783,2.9398821084250577,-4.708263367339108,2.078067996060814,0.46060021683334224,1.9704754839597591,-2.4774409968523603,-1.573179319494072,2.57586599339,-2.606780329019757,1.2045094630426245,-2.423364427027222,-3.1045404597393986,0.13242446596562496,-3.7817513894872437,-1.2650678455573838,1.5287106042227045,2.4371618493083007,-1.3479432655273693,1.423064762435075,-2.4736040683430724,-2.6087578326198986,1.8253670473316326,-1.7724669420765389,1.6554555751119693,-1.4260822769009,-1.4479011715302468,-0.07435170028949961,1.7475593584804339,2.4747052627355934,1.005130009734764,0.35504500894711727,2.165899054466565,0.6792722547679524,-0.7941494873462493,-1.092078468749424,0.8916835833939422,-0.3976721126181405,-2.2140216690072756,-0.7176238452928015,0.4998287015171465,0.9256934436903568"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Granny Smith/210_100.jpg,Apple Granny Smith,"5.508942510288851,-8.822487290545656,-2.599790760869694,3.6418695712000586,2.089494538775306,7.204799959285989,4.760548981776348,5.472193741132933,-3.762624174951641,1.1809338798099676,-5.366382420508531,1.2609784678919156,-1.8275151220082035,2.2830915986241846,-2.328031664250328,-4.898260465414169,1.6936722365158083,-0.5978450353270737,2.5040974092465773,-1.0882472090581643,-2.7229842906999964,1.1564240025023838,-6.544432916182807,-0.24143632483488173,-0.10982075245107972,1.223791239193218,-0.47265756744170884,1.4638580283575096,-1.3229836055479136,0.422827370438298,-0.22657287353018668,-0.5604350778760838,2.53664717380358,-2.8179966202880737,-1.5528427716148487,-0.8828084241612673,0.4644385131144873,0.6853317567040914,1.1564227244486345,1.7059890244321079,0.9562780007724384,0.4333155453961747,0.15854202593313155,1.1047946513912004,-0.9221978373998426,-0.8320851782679687,-1.9046328569766877,-0.7139841978103143,-0.4783149893581938,1.5216227428427136"
