path,label,pca_features_string
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 3/r_242_100.jpg,Apple Red 3,"-2.8920842773570117,-1.142299077006434,-6.015363300314115,-4.6012959343053055,10.032604944459312,7.869493606458527,6.376241952954569,-0.807552055045656,0.9722169071768475,3.7806162324698773,-4.939155431097861,0.9804993074717689,-1.4315711678226108,1.504003144351775,-2.1770739243375337,-1.274606276613935,1.2366291978827022,-0.6458557714391109,0.2384354558216539,-1.832596724689547,-1.8410808965433614,0.8246757045269185,-4.082688859470323,-1.6476636419700992,-0.7121070883530297,0.4532631340301143,-2.2743350253711325,2.2917058159569095,-1.742664611711415,-2.2725400374143265,2.795035744548057,-1.685599403457558,1.758772360192077,-2.8171325335201,-1.2364561547563597,-1.2097456674564615,-1.2101360426327055,-0.03423051341743542,0.2737487539052901,-0.627161529552017,0.9449976310382103,0.6472061916446229,1.1208534821453495,-0.6531460211203051,-1.0890662544937362,0.38711605970886914,-1.5447216569993674,-2.055717460573328,-1.7978309155962224,0.5302904057347697"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 2/r_56_100.jpg,Apple Red Yellow 2,"-0.6950936476935892,-2.5945285289703564,3.8676253143239196,-0.20930945782786214,3.283530057076483,5.848026903743111,9.76463816176377,1.573105591129301,4.3540312834940025,3.7284313988777753,-4.215861405121584,3.0242109347186976,-2.358867176948724,1.6821683765022906,-0.8800065963997312,-1.4984362241477607,6.722585567366673,-0.06248053487051919,1.4563613724706919,-1.530869148840335,-4.054592342250227,2.503207850603564,-1.2479530265650751,-1.28560636047489,1.8636634175485973,0.9941671406857768,-0.8093828137598165,0.6278600597041415,-3.772540368408593,0.4205058890853535,1.8728106379082368,-0.5441038921508482,0.8161239192310842,-1.9723991645206267,-0.35034183232373545,-0.6687613773719691,0.531891280822361,1.0624275355507677,0.9491965177232063,-0.1695680548218987,1.1558032394670155,0.9977676325200501,-0.6085560920733749,-0.9063417545177757,0.22025149010885714,0.5274913108938162,-0.7976664066067197,-0.14146055084381132,-0.8765528487115342,0.20086645828682273"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Braeburn/r_265_100.jpg,Apple Braeburn,"-15.806761603406088,-5.015364391732243,-2.3848007802606817,3.7001047686199082,-0.4275524839485315,6.674141043541692,8.4905178408496,2.933142947719192,-0.3793701919705409,8.730333407648349,-5.549249546735848,2.538684384047943,-1.2198267135226495,0.2660723116640122,-3.505552056093478,-2.3278297395632355,3.215101275779597,-0.8320446948498156,1.0971874342629266,-0.7389341838031774,-4.600869239882662,1.8032469035692078,-4.781666538659457,0.06416482970585649,0.33429690012128266,1.668663564820589,-0.6433598117352829,1.8611033073815033,-1.2261669822634678,0.4625145254695026,-0.2919240759119525,-2.0052526224009024,2.395524854933133,-1.915141252952698,-2.8656500957451008,-3.118345333490245,-0.17948758942005108,0.9290088468527692,0.5982846655950161,1.0804890374862397,2.0550832648194293,1.0591615092836226,0.7246824935526913,-0.7677079568518396,-0.8661481081140179,-1.0327357928122691,-0.5115662451861789,-1.9805136927124636,-1.5976764536224206,0.27198566571599064"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/291_100.jpg,Apple Golden 1,"6.2839732343669,-0.727262763194034,-5.400707438628137,-4.350767321285214,1.3438343736150635,1.7058448798045198,5.479590579216239,1.240472823384199,1.7849842579748934,6.291771394144401,-4.789918419792657,1.108781780159064,-0.479469912987474,-1.3423591653406266,-2.2216678598988824,-2.519443353896488,2.97173273332441,-0.6268441441085827,2.036292833964783,-2.9524767922406556,-6.739492787122697,1.961403852036639,-5.1177877557249944,-1.3106128073276544,-1.498176160319242,2.4399400740352113,-0.5098408137212648,1.1352169280035673,-1.752640000520328,-0.7230394799407796,-0.04383412806536287,-1.9875057806351288,1.2447662538520932,-1.4938762806822747,-0.491795404464535,-1.7793828207169757,0.7581229390385165,0.2000428169242054,0.12918861014251876,0.894287807542199,1.0932071333847806,0.21108721913161047,-1.170491530346181,-0.5562534057121474,0.4930855316615488,-0.2952326024572775,-3.1403906729759794,-0.09761743808681636,-1.0844026582468842,0.902956914935087"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Golden 1/293_100.jpg,Apple Golden 1,"6.360740949196884,0.033716203018397346,-5.289353979960177,-4.594812779223398,1.1723701129218278,2.1059793899606394,5.491264145745521,1.1510894687038276,1.7828598199241747,6.448348803449105,-4.978619117283497,1.1127850441156428,-0.6593957089450779,-1.2730282560407187,-2.6262393529415022,-3.1960890385673406,3.298530427103474,-0.6354759933702653,2.3124921298497907,-2.845174657285743,-6.432542407152256,1.756814615661356,-4.874235271406461,-0.8308166873838742,-1.8045119435759454,1.587875043422268,-0.43480792200718155,0.9827214392704874,-1.1031866242224488,-0.47781536452219375,-0.2678928942108965,-1.6857738418685935,1.0364684282194463,-1.068272099263915,-0.881258851157735,-1.3082682108601484,0.6358914594993412,0.8993332183964555,-0.04719782093799868,1.0232789745314268,0.6233019315784889,-0.036610224701834004,-1.3885025944972305,-0.8821522700733236,0.9774523849541759,-0.49328905379799187,-3.277767110349547,-0.4612029437875859,-0.6206253313439183,0.9343257084641818"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 2/r_107_100.jpg,Apple Red 2,"0.8333815321552632,0.24033549514745503,-0.09141667299332124,5.498096133635258,3.116754057707875,8.51976599611178,7.982445304375086,4.346795025071469,2.62365977340031,2.7433028400168644,-1.1636659481114346,-0.0890450622468489,-2.937692125200211,0.5337380485096345,-5.678109879575074,-4.446269209143104,1.5725276545751827,1.8267528086578018,2.1961886530368058,-3.785790251396775,-3.6885096357965987,1.1281111002989503,-2.8446076550469255,0.07713289333968998,0.8223903743940381,2.703679031910111,-1.2258515989376364,2.845408910014223,-1.5183363655577302,1.7441725219967061,-0.6409524931711116,-2.297799869798053,2.0376212937857145,-2.0750698110760832,-1.964066251889563,-0.6639957627502724,-0.7316574763351872,-0.695137423471561,1.3763313762455074,0.632244676426904,0.7897210288275368,1.0427720445763657,-0.3887847972783139,-2.558303373318265,-0.06586209127504554,-2.3348046045796957,-1.9906036955362088,0.8753065359076431,-2.0275859293580853,0.856633170705366"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/267_100.jpg,Apple Red Yellow 1,"-14.142778189563371,-1.3313174154397738,-3.2767187730608733,-1.037708935531391,0.12502975222550186,2.9697402526745416,6.5184008339169095,5.157641090606747,2.1937704053967577,2.089589975060233,-5.750767921582275,2.0974907878453544,-0.08502230030367346,2.5122895123608724,-2.8634598529524986,-2.1209848308805483,4.003356081875702,2.325724361014921,-1.6476613947772325,-0.43331949909295925,-3.6313814830488074,0.5523755169720262,-5.181506358654126,-0.2239699111454172,-2.1571003599935077,2.8872134009138515,-2.969839354130759,3.9182845596239586,-1.4687710726077923,-0.5258114205799161,0.8474169212529329,-1.8289435033805956,-0.25404348829423967,-1.5003607513331538,-0.9730138448578413,-1.1560147668515588,0.1911500813779281,2.331565106937411,1.1857722604853378,-0.03275837094251589,0.38227513205727054,0.9144282772300673,0.29809403416393887,-1.3883856086462447,-1.1327439074510444,-0.7862552567557657,-1.2450248387378373,-0.8084467046340822,-1.0195821885603564,0.25055670140617514"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red Yellow 1/309_100.jpg,Apple Red Yellow 1,"-14.444485048884545,-3.2104229366582695,-5.7064605262744506,0.12510862419209132,-0.22546474406744907,1.8622542018866703,7.988325923553739,3.707121809616326,2.605646459025464,-0.323679770969048,-7.003509183143886,1.6233100204294861,0.6536638792260412,3.9606040306305377,-6.402541932712793,-3.1209908869960854,4.392758653372814,-0.2928146965843339,2.5031909753743498,-2.088236501290566,-3.28713059428826,1.5897908037986408,-5.816761806561829,0.38940828899440966,-3.176013747229075,4.1290259597178105,-2.0330262171553315,2.633653597948875,2.33129479920231,-0.9402312302038829,1.7187496162154998,-0.9842884004852994,0.18178113289985462,-2.9734525746569878,-2.0657066777460056,-1.9428145534548718,1.0576177857940847,1.5201941638883374,2.106566873416476,-0.059457146240534366,1.837840161557694,0.20495199493297864,0.1624192663457034,1.7431256755009994,0.9517721942738523,-1.1623239175615006,-1.1769700879971636,-0.4749105030505608,-0.6206809162900335,0.4443357888319315"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/138_100.jpg,Apple Red 1,"-11.090223181122576,0.21642555380137388,-4.471649735008051,0.40045507735060365,2.961392357890668,4.869376366370359,0.9554037875271303,6.063451648738612,5.045570778669965,2.9237491620586615,-4.90015125353687,4.451801952904789,-2.3623074061370217,2.202817329780049,-1.2295636535612722,-2.2169342607021685,1.9185493094716273,0.19007377770225423,0.19894281676442668,-1.1360885974474801,-4.498492151687103,-0.5826446289810026,-2.403907531066564,0.3641404513668668,-0.9124074026310329,2.217157173686029,-3.384680742258689,1.109386536080162,-1.4582415170250542,-0.7716393451571012,-2.018667610401662,-1.4414849690660638,2.343529154930707,-0.16062149913785653,-2.4823368402404773,-1.9691168594649333,1.6819683888741752,0.484519954862162,-0.8964685421992696,-0.059441771411551055,1.232683274893888,1.1540913985136572,0.7441451341259676,-1.1399774059520837,-0.5400682543351761,-0.6301767116479366,-1.1186814667764193,-2.4377443487840216,-0.49535525401248676,-0.1017374569954325"
s3://oc-p11-fruits-david-scanu/data/raw/Training/Apple Red 1/r_247_100.jpg,Apple Red 1,"-9.155732426766315,-0.4615460157973861,-1.5271007918239126,-4.496786602685987,-0.5995795640381886,8.049315539191324,8.752359587763156,5.610522136083159,1.2993485543735046,2.185932060108242,-8.74958988480111,-0.6380653060593845,-2.8420620931148166,1.9821680204232606,-1.7253271404495982,1.820885083083003,1.6060703166626997,0.03321507715496692,0.7537670167585403,-1.7502685875344686,-2.8701274989409167,4.049741733912991,-4.479854106094954,0.20560755273738285,-2.100953377636926,2.5485902243959244,-1.4354385980178195,1.245999814986337,-1.7048642696300793,-1.4072305054107883,2.3418456204842837,-3.733362544597971,0.43321498054216556,-1.5416365499541507,-1.7860945387560276,-0.6017051131833406,0.6341358379794101,0.2780187704575014,-0.01248284584279016,-0.002725523049254335,1.9559427202397013,-1.8296599109492546,-0.8025732178272539,-0.788888922581337,-0.5981113919007698,-1.1798276204003577,-1.8491411760449532,-1.8066523831449792,-2.0785195618099452,0.8397967241481608"
